Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
RMA,MLG,18.04.2015,CF-G,Ronaldo,2-91,372.72,204.96,369.6,158.907
RMA,MLG,18.04.2015,CF-O,,2-66,380,341.55,325.92,156.975
RMA,MLG,18.04.2015,CF-O,,2-92,549.52,239.5,448.64,134.113
RMA,CEL,26.04.2015,CF-G,Kroos,1-15,350.88,368.24,418.48,127.351
RMA,CEL,26.04.2015,CF-G,Hernández,1-23,573.44,233.22,352.96,158.907
RMA,CEL,26.04.2015,GF,Rodríguez,1-42,393.52,445.17,426.8,160.034
RMA,CEL,26.04.2015,CF-G,Hernández,2-68,409.12,324.28,403.92,158.907
RMA,CEL,26.04.2015,CF-O,,1-40,288.48,325.85,436.16,158.907
RMA,CEL,26.04.2015,CF-S,,2-55,558.88,277.18,538.08,258.34
RMA,ALM,29.04.2015,GF,Rodríguez,1-43,402.88,531.52,359.2,104.006
RMA,ALM,29.04.2015,CF-G,Arbeloa,2-83,393.52,201.82,403.92,158.907
RMA,ALM,29.04.2015,CF-O,,2-73,411.2,286.6,444.48,158.746
RMA,SEV,02.05.2015,GF,Ronaldo,1-35,453.84,270.9,367.52,137.494
RMA,SEV,02.05.2015,CF-G,Ronaldo,1-36,378.96,241.07,404.96,158.907
RMA,SEV,02.05.2015,GF,Ronaldo,2-68,239.6,228.51,414.32,152.789
RMA,SEV,02.05.2015,CF-S,,1-8,386.24,239.5,389.36,209.67
RMA,VAL,09.05.2015,GF,Lima Ferreira,2-55,385.2,267.76,388.32,151.823
RMA,VAL,09.05.2015,GF,Alarcón Suárez,2-83,269.76,540.94,333.2,127.351
RMA,VAL,09.05.2015,CF-S,,1-46,380,341.55,344.64,165.71
RMA,VAL,09.05.2015,CF-S,,2-55,429.92,255.2,410.16,162.57
RMA,ESP,17.05.2015,CF-G,Ronaldo,2-58,248.96,318,367.52,157.941
RMA,ESP,17.05.2015,GF,Da Silva Junior,2-78,318.64,346.26,407.04,114.149
RMA,ESP,17.05.2015,CF-G,Ronaldo,2-82,306.16,336.84,346.72,128.317
RMA,ESP,17.05.2015,CF-G,Ronaldo,2-90,443.44,201.82,414.32,133.469
RMA,ESP,17.05.2015,CF-O,,1-12,297.84,233.22,315.52,111.734
RMA,GET,23.05.2015,CF-G,Ronaldo,1-12,469.44,288.17,343.6,127.351
RMA,GET,23.05.2015,GF,Ronaldo,1-31,181.36,588.04,335.28,144.739
RMA,GET,23.05.2015,CF-G,Ronaldo,1-33,378.96,338.41,376.88,134.435
RMA,GET,23.05.2015,GF,Hernández,2-46,235.44,291.31,394.56,142.646
RMA,GET,23.05.2015,GF,Rodríguez,2-50,524.56,449.88,422.64,116.242
RMA,GET,23.05.2015,GF,Rodríguez Ruiz,2-70,217.76,365.1,422.64,160.034
RMA,GET,23.05.2015,CF-G,Da Silva Junior,2-89,355.04,277.18,357.12,139.587
RMA,GET,23.05.2015,CF-O,,2-46,372.72,225.37,434.08,130.41
ATM,RVA,25.08.2014,CF-O,,1-24,479.84,211.24,444.48,145.383
ATM,RVA,25.08.2014,CF-S,,1-26,496.48,314.86,423.68,198.68
ATM,EIB,30.08.2014,CF-G,De Souza Filho,1-10,451.76,203.39,383.12,101.913
ATM,EIB,30.08.2014,CF-G,Mandzukic,1-24,423.68,255.2,347.76,147.798
ATM,RMA,13.09.2014,CF-G,Cardoso Mendes,1-9,336.32,197.11,350.88,128.317
ATM,RMA,13.09.2014,GF,Turan,2-75,429.92,369.81,336.32,156.975
